Symbol,Exchange,Currency,OPGs Found,Take Profit,Profit,StopLoss,Loss,Wins,%
ROKU,SMART,USD,16,16,0,0,0,16,100
PLUG,SMART,USD,15,15,0,0,0,15,100
JNCE,SMART,USD,13,13,0,0,0,13,100
MRVL,SMART,USD,12,12,0,0,0,12,100
MELI,SMART,USD,11,11,0,0,0,11,100
GME,SMART,USD,11,11,0,0,0,11,100
FBRX,SMART,USD,10,10,0,0,0,10,100
NIO,SMART,USD,10,10,0,0,0,10,100
CRS,SMART,USD,8,8,0,0,0,8,100
PAYS,SMART,USD,8,8,0,0,0,8,100
BYND,SMART,USD,8,8,0,0,0,8,100
FVRR,SMART,USD,8,8,0,0,0,8,100
APHA,SMART,USD,7,7,0,0,0,7,100
CRWD,SMART,USD,6,6,0,0,0,6,100
AAN,SMART,USD,1,1,0,0,0,1,100
AMD,SMART,USD,10,9,0,0,1,9,90
TDOC,SMART,USD,10,9,0,1,0,9,90
LTHM,SMART,USD,10,9,0,0,1,9,90
PYPL,SMART,USD,8,7,0,0,1,7,87.5
BJ,SMART,USD,8,7,0,1,0,7,87.5
OKTA,SMART,USD,15,13,0,1,1,13,86.66666667
DELL,SMART,USD,7,6,0,1,0,6,85.71428571
KTOS,SMART,USD,13,11,0,2,0,11,84.61538462
SQM,SMART,USD,6,5,0,1,0,5,83.33333333
AMZN,SMART,USD,6,5,0,1,0,5,83.33333333
EGHT,SMART,USD,6,5,0,1,0,5,83.33333333
AAPL,SMART,USD,6,5,0,1,0,5,83.33333333
MITK,SMART,USD,11,9,0,2,0,9,81.81818182
NVDA,SMART,USD,11,9,0,2,0,9,81.81818182
MPWR,SMART,USD,9,7,0,2,0,7,77.77777778
TSLA,SMART,USD,9,7,0,2,0,7,77.77777778
MU,SMART,USD,8,6,0,2,0,6,75
CAT,SMART,USD,8,6,0,2,0,6,75
HRC,SMART,USD,4,3,0,1,0,3,75
MA,SMART,USD,4,3,0,1,0,3,75
SSO,SMART,USD,4,3,0,1,0,3,75
HP,SMART,USD,11,8,0,3,0,8,72.72727273
ADBE,SMART,USD,7,5,0,2,0,5,71.42857143
TKR,SMART,USD,9,6,0,3,0,6,66.66666667
MSFT,SMART,USD,6,4,0,2,0,4,66.66666667
CRM,SMART,USD,6,4,0,2,0,4,66.66666667
DAL,SMART,USD,11,7,0,4,0,7,63.63636364
OLLI,SMART,USD,8,5,0,3,0,5,62.5
ALB,SMART,USD,10,6,0,3,1,6,60
DE,SMART,USD,10,6,0,4,0,6,60
XLE,SMART,USD,10,6,0,4,0,6,60
NKE,SMART,USD,10,6,0,4,0,6,60
VRTX,SMART,USD,5,3,0,2,0,3,60
KO,SMART,USD,5,3,0,2,0,3,60
FB,SMART,USD,5,3,0,2,0,3,60
HLF,SMART,USD,12,7,0,5,0,7,58.33333333
UL,SMART,USD,7,4,0,3,0,4,57.14285714
MTZ,SMART,USD,9,5,0,4,0,5,55.55555556
BIDU,SMART,USD,10,5,0,5,0,5,50
