Symbol,Exchange,Currency,OPGs Found,Take Profit,Profit,StopLoss,Loss,Wins,%
KEP,SMART,USD,8,2,6,0,0,8,100
SGEN,SMART,USD,7,7,0,0,0,7,100
SEDG,SMART,USD,7,7,0,0,0,7,100
LSCC,SMART,USD,7,7,0,0,0,7,100
NFLX,SMART,USD,7,6,1,0,0,7,100
LILA,SMART,USD,7,5,2,0,0,7,100
CRUS,SMART,USD,7,5,2,0,0,7,100
WPM,SMART,USD,7,5,2,0,0,7,100
BB,SMART,USD,7,4,3,0,0,7,100
AAP,SMART,USD,7,4,3,0,0,7,100
FATE,SMART,USD,6,6,0,0,0,6,100
VCYT,SMART,USD,6,6,0,0,0,6,100
NTRA,SMART,USD,6,6,0,0,0,6,100
ATCO,SMART,USD,6,6,0,0,0,6,100
BHC,SMART,USD,6,6,0,0,0,6,100
IRDM,SMART,USD,6,6,0,0,0,6,100
SRPT,SMART,USD,6,6,0,0,0,6,100
AYX,SMART,USD,6,6,0,0,0,6,100
DECK,SMART,USD,6,5,1,0,0,6,100
HWC,SMART,USD,6,5,1,0,0,6,100
ENSG,SMART,USD,6,5,1,0,0,6,100
WEX,SMART,USD,6,5,1,0,0,6,100
CTB,SMART,USD,6,5,1,0,0,6,100
MCK,SMART,USD,6,5,1,0,0,6,100
MKTX,SMART,USD,6,5,1,0,0,6,100
NUS,SMART,USD,6,5,1,0,0,6,100
AYI,SMART,USD,6,5,1,0,0,6,100
SPSC,SMART,USD,6,5,1,0,0,6,100
NOVT,SMART,USD,6,5,1,0,0,6,100
AM,SMART,USD,6,5,1,0,0,6,100
DVN,SMART,USD,6,5,1,0,0,6,100
UA,SMART,USD,6,4,2,0,0,6,100
AEL,SMART,USD,6,4,2,0,0,6,100
WAL,SMART,USD,6,4,2,0,0,6,100
BKU,SMART,USD,6,4,2,0,0,6,100
TREE,SMART,USD,6,4,2,0,0,6,100
MTH,SMART,USD,6,3,3,0,0,6,100
R,SMART,USD,6,3,3,0,0,6,100
SNX,SMART,USD,6,3,3,0,0,6,100
TEF,SMART,USD,6,2,4,0,0,6,100
BBVA,SMART,USD,6,2,4,0,0,6,100
TPR,SMART,USD,6,2,4,0,0,6,100
KW,SMART,USD,5,5,0,0,0,5,100
MIME,SMART,USD,5,5,0,0,0,5,100
PZZA,SMART,USD,5,5,0,0,0,5,100
NYT,SMART,USD,5,5,0,0,0,5,100
ARWR,SMART,USD,5,5,0,0,0,5,100
BZUN,SMART,USD,5,5,0,0,0,5,100
PEN,SMART,USD,5,5,0,0,0,5,100
AVAV,SMART,USD,5,5,0,0,0,5,100
ABBV,SMART,USD,5,5,0,0,0,5,100
NVT,SMART,USD,5,5,0,0,0,5,100
Z,SMART,USD,5,5,0,0,0,5,100
AEIS,SMART,USD,5,5,0,0,0,5,100
CDLX,SMART,USD,5,5,0,0,0,5,100
MAXR,SMART,USD,5,5,0,0,0,5,100
RCM,SMART,USD,5,4,1,0,0,5,100
NOV,SMART,USD,5,4,1,0,0,5,100
EBS,SMART,USD,5,4,1,0,0,5,100
TKR,SMART,USD,5,4,1,0,0,5,100
BEN,SMART,USD,5,4,1,0,0,5,100
CNC,SMART,USD,5,4,1,0,0,5,100
KL,SMART,USD,5,4,1,0,0,5,100
KMPR,SMART,USD,5,4,1,0,0,5,100
PRAH,SMART,USD,5,4,1,0,0,5,100
WES,SMART,USD,5,4,1,0,0,5,100
HOLX,SMART,USD,5,4,1,0,0,5,100
HWM,SMART,USD,5,4,1,0,0,5,100
AMX,SMART,USD,5,4,1,0,0,5,100
CBT,SMART,USD,5,4,1,0,0,5,100
COP,SMART,USD,5,4,1,0,0,5,100
BIDU,SMART,USD,5,4,1,0,0,5,100
IMO,SMART,USD,5,4,1,0,0,5,100
MANU,SMART,USD,5,4,1,0,0,5,100
MCO,SMART,USD,5,4,1,0,0,5,100
DELL,SMART,USD,5,4,1,0,0,5,100
ITUB,SMART,USD,5,3,2,0,0,5,100
BOKF,SMART,USD,5,3,2,0,0,5,100
SABR,SMART,USD,5,3,2,0,0,5,100
IDXX,SMART,USD,5,3,2,0,0,5,100
ENIC,SMART,USD,5,3,2,0,0,5,100
BRFS,SMART,USD,5,3,2,0,0,5,100
PLNT,SMART,USD,5,3,2,0,0,5,100
CACI,SMART,USD,5,3,2,0,0,5,100
VRSK,SMART,USD,5,3,2,0,0,5,100
DSGX,SMART,USD,5,3,2,0,0,5,100
TFX,SMART,USD,5,3,2,0,0,5,100
RBC,SMART,USD,5,3,2,0,0,5,100
DB,SMART,USD,5,2,3,0,0,5,100
SLM,SMART,USD,5,2,3,0,0,5,100
NVS,SMART,USD,5,2,3,0,0,5,100
JAZZ,SMART,USD,5,2,3,0,0,5,100
ASB,SMART,USD,5,2,3,0,0,5,100
PNM,SMART,USD,5,2,3,0,0,5,100
SIRI,SMART,USD,5,2,3,0,0,5,100
SPGI,SMART,USD,5,2,3,0,0,5,100
NWS,SMART,USD,5,2,3,0,0,5,100
VOD,SMART,USD,5,1,4,0,0,5,100
ALV,SMART,USD,5,1,4,0,0,5,100
BBD,SMART,USD,4,4,0,0,0,4,100
PODD,SMART,USD,4,4,0,0,0,4,100
COKE,SMART,USD,4,4,0,0,0,4,100
HBAN,SMART,USD,4,4,0,0,0,4,100
GIL,SMART,USD,4,4,0,0,0,4,100
ASND,SMART,USD,4,4,0,0,0,4,100
XLRN,SMART,USD,4,4,0,0,0,4,100
